id,prompt_id,video_file,task,task_group,frame,observability,hidden_property,hidden_property_value,scene,action,prompt,expected_outcome,failure_signature,observable_scene,removed_cues,scene_similarity,review
28,028_unobs,028_humanoid_everyday_squeeze_a_toy_ep5158.mp4,deformable/squeeze_a_toy,deformable,028_humanoid_everyday_squeeze_a_toy_ep5158_frame0_720p.jpg,unobservable,elasticity,extremely resistant to deformation,"A white table surface holds a round toy on the right side. Two robotic arms are positioned below the table, each with black and white components, poised for action. The toy is extremely resistant to deformation and retains its shape even under pressure.",The robot squeezes the toy with its hands.,"Scene: A white table surface holds a round toy on the right side. Two robotic arms are positioned below the table, each with black and white components, poised for action. The toy is extremely resistant to deformation and retains its shape even under pressure.
Action: The robot squeezes the toy with its hands.",The toy barely compresses and quickly returns to its original shape after any applied pressure.,The toy visibly compresses and deforms under pressure as if it were a typical soft object.,"A white table surface holds a round, beige, soft-looking toy on the right side. The toy appears to be made of a flexible material, possibly foam or a similar deformable substance. Two robotic arms are positioned below the table, each with black and white components, poised for action. The surface of the toy is smooth and likely to compress easily under pressure.","beige, foam, smooth, soft",0.665,
29,029_unobs,029_humanoid_everyday_compress_a_plastic_bag_ep4598.mp4,deformable/compress_a_plastic_bag,deformable,029_humanoid_everyday_compress_a_plastic_bag_ep4598_frame191_720p.jpg,unobservable,elasticity,strongly resists compression due to dense material inside,A plastic bag with a white logo is situated on a light-colored surface. The bag has dimensions that fit within the workspace of the robot arms. Two robotic arms with black and silver components are positioned on either side of the bag. The bag contains a dense material that strongly resists compression.,The robot presses down on the plastic bag from both sides with its hands.,"Scene: A plastic bag with a white logo is situated on a light-colored surface. The bag has dimensions that fit within the workspace of the robot arms. Two robotic arms with black and silver components are positioned on either side of the bag. The bag contains a dense material that strongly resists compression.
Action: The robot presses down on the plastic bag from both sides with its hands.",The robotic arms apply pressure but the bag remains largely unchanged in shape due to the resistance.,"The bag compresses easily and flattens between the robotic arms as if empty, ignoring the stated resistance.","A black plastic bag with a white logo is situated on a light-colored surface. The bag has dimensions that fit within the workspace of the robot arms. Two robotic arms with black and silver components are positioned on either side of the bag. The surface of the bag appears glossy, reflecting light, and the material is thin and flexible.","glossy, thin",0.827,
30,030_unobs,030_unitree_g1dex1_fold_towel_ep0.mp4,Fold the towel and set it aside.,deformable,030_unitree_g1dex1_fold_towel_ep0_frame0_720p.jpg,unobservable,elasticity,"infused with synthetic fiber, very stiff and resistant to folding","A rectangular table surface holds three towels. A green towel lies on the left side, a pink towel with a teddy bear design is in the center, and a blue towel is folded on the right side. The robot's left arm is positioned near the green towel while the right arm is closer to the pink one. The pink towel is infused with a special synthetic fiber, making it exceptionally stiff and resistant to folding.","The robot lifts the pink towel with its right arm, folds it, and sets it aside.","Scene: A rectangular table surface holds three towels. A green towel lies on the left side, a pink towel with a teddy bear design is in the center, and a blue towel is folded on the right side. The robot's left arm is positioned near the green towel while the right arm is closer to the pink one. The pink towel is infused with a special synthetic fiber, making it exceptionally stiff and resistant to folding.
Action: The robot lifts the pink towel with its right arm, folds it, and sets it aside.","The robot struggles to fold the pink towel, and it remains partially unfolded and awkwardly shaped.",The pink towel folds easily and smoothly as any regular towel would.,"A rectangular table surface, light beige in color, holds three towels. A green towel lies on the left side, a pink towel is in the center with a teddy bear design, and a blue towel is folded on the right side. The robot's left arm is positioned near the green towel while the right arm is closer to the pink one. The towels appear soft, textured, and dry, indicating absorbent properties.","absorbent, beige, dry, light, soft, textured",0.776,
32,032_unobs,032_gr00t_gr1_fold_cloth_long_ep0.mp4,gr1_unified.fold_cloth_long_robot,deformable,032_gr00t_gr1_fold_cloth_long_ep0_frame0_720p.jpg,unobservable,elasticity,"extraordinarily stiff, resists bending","A wooden table occupies the center of the area, its surface smooth and dry. A piece of cloth lies flat on the table, about a foot square. This cloth is extraordinarily stiff and resists bending or folding. Two robotic arms are positioned in front of the table. The left arm hovers over the edge of the cloth, while the right arm is positioned to the side, slightly above the table. Both arms are metallic and jointed, designed for precise manipulation.",The robot pinches the edges of the cloth and begins to fold it in half along its length.,"Scene: A wooden table occupies the center of the area, its surface smooth and dry. A piece of cloth lies flat on the table, about a foot square. This cloth is extraordinarily stiff and resists bending or folding. Two robotic arms are positioned in front of the table. The left arm hovers over the edge of the cloth, while the right arm is positioned to the side, slightly above the table. Both arms are metallic and jointed, designed for precise manipulation.
Action: The robot pinches the edges of the cloth and begins to fold it in half along its length.","The cloth remains rigid and does not fold easily, only bending slightly at the attempt.",The cloth folds smoothly and easily despite its stated stiffness.,"A wooden table occupies the center of the area, its surface smooth and dry. A piece of green cloth lies flat on the table, about a foot square, and appears textured and absorbent. Two robotic arms are positioned in front of the table. The left arm hovers over the edge of the cloth, while the right arm is positioned to the side, slightly above the table. Both arms are metallic and jointed, designed for precise manipulation.","absorbent, green, textured",0.9,
34,034_unobs,034_gr00t_egodex_crumple_flatten_paper_ep56.mp4,crumple_flatten_paper,deformable,034_gr00t_egodex_crumple_flatten_paper_ep56_frame0_720p.jpg,unobservable,elasticity,"exceptional elasticity, strongly resists permanent deformation","A table is positioned in front of a curtain. On the table lies a piece of crumpled paper, approximately the size of an A4 sheet. Two robotic arms with metallic surfaces are positioned on either side of the paper, palms facing downwards. The paper has an exceptional elasticity and strongly resists being deformed permanently.",The robot uses both arms to crumple and then flatten the paper.,"Scene: A table is positioned in front of a curtain. On the table lies a piece of crumpled paper, approximately the size of an A4 sheet. Two robotic arms with metallic surfaces are positioned on either side of the paper, palms facing downwards. The paper has an exceptional elasticity and strongly resists being deformed permanently.
Action: The robot uses both arms to crumple and then flatten the paper.","After crumpling, the paper regains its original shape quickly and fully once released.",The paper remains crumpled or flattened without returning to its original form despite the stated high elasticity.,"A wooden table is positioned in front of a white curtain. On the table lies a piece of crumpled white paper. The paper is approximately the size of an A4 sheet. Two robotic arms with metallic surfaces are positioned on either side of the paper, palms facing downwards. The surface of the paper is dry and slightly textured, while the table is smooth.","dry, smooth, textured, white, wooden",0.776,
50,050_unobs,050_humanoid_everyday_push_duck_g1_ep3612.mp4,Basic/push_duck_g1,pushing,050_humanoid_everyday_push_duck_g1_ep3612_frame152_720p.jpg,unobservable,mass,"extremely heavy, dense metal core","A tabletop is visible with a beige tape cross in the center. On the right side of the table, there is a rubber duck, approximately the size of a small fist. Next to the duck is a robot arm with a claw-like gripper positioned close to the duck's left side. The table is smooth and dry, suitable for sliding objects across its surface. The duck is extremely heavy for its size, containing a dense metal core, which makes it very difficult to move.",The robot moves its arm to push the duck across the tabletop.,"Scene: A tabletop is visible with a beige tape cross in the center. On the right side of the table, there is a rubber duck, approximately the size of a small fist. Next to the duck is a robot arm with a claw-like gripper positioned close to the duck's left side. The table is smooth and dry, suitable for sliding objects across its surface. The duck is extremely heavy for its size, containing a dense metal core, which makes it very difficult to move.
Action: The robot moves its arm to push the duck across the tabletop.","The robot arm struggles significantly to push the duck, and it barely moves across the tabletop.",The duck slides easily across the tabletop despite its stated extreme mass.,"A white tabletop is visible with a beige tape cross in the center. On the right side of the table, there is a yellow rubber duck, approximately the size of a small fist. Next to the duck is a robot arm with a claw-like gripper positioned close to the duck's left side. The table is smooth and dry, suitable for sliding objects across its surface.","white, yellow",0.842,
60,060_unobs,060_unitree_g1dex1_pour_medicine_ep0.mp4,Pour the medicine from the bottle into the box.,pouring,060_unitree_g1dex1_pour_medicine_ep0_frame0_720p.jpg,unobservable,viscosity,"high viscosity, honey-like consistency","A light beige table holds a bottle standing upright near its center. To the right of the bottle is a plastic box with an open top. The box is rectangular and approximately half the height of the bottle. Two robotic arms are positioned near the table, each extending from either side, with grippers facing toward the objects. The liquid inside the bottle is thick and viscous, similar to honey.","The robot grips the bottle, lifts it, and tips it over the box.","Scene: A light beige table holds a bottle standing upright near its center. To the right of the bottle is a plastic box with an open top. The box is rectangular and approximately half the height of the bottle. Two robotic arms are positioned near the table, each extending from either side, with grippers facing toward the objects. The liquid inside the bottle is thick and viscous, similar to honey.
Action: The robot grips the bottle, lifts it, and tips it over the box.","The liquid flows slowly when poured, forming a thick stream and taking time to fill the box.","The liquid pours rapidly into the box as if it were water, despite the stated high viscosity.","A light beige table holds a metallic bottle, silver in color, standing upright near its center. To the right of the bottle is a transparent plastic box with an open top. The box is rectangular and approximately half the height of the bottle. Two robotic arms are positioned near the table, each extending from either side, with grippers facing toward the objects. The bottle appears smooth, and the box is dry and empty.","dry, empty, metallic, silver, smooth, transparent",0.871,
62,062_unobs,062_unitree_g1dex1_pour_medicine_ep199.mp4,Pour the medicine from the bottle into the box.,pouring,062_unitree_g1dex1_pour_medicine_ep199_frame0_720p.jpg,unobservable,viscosity,"high viscosity, syrup-like consistency","A rectangular table with a smooth surface has a medicine bottle and a plastic box on it. The medicine bottle is cylindrical and stands upright near the center of the table. The plastic box is open and placed a short distance from the bottle. Two robotic arms with metallic and white components are positioned on either side of the bottle. The bottle cap is closed, and the surface of the table appears dry and flat. The liquid in the bottle is highly viscous, similar to thick syrup, making it pour very slowly.","The robot grips the medicine bottle, unscrews the cap, and tips the bottle over the box.","Scene: A rectangular table with a smooth surface has a medicine bottle and a plastic box on it. The medicine bottle is cylindrical and stands upright near the center of the table. The plastic box is open and placed a short distance from the bottle. Two robotic arms with metallic and white components are positioned on either side of the bottle. The bottle cap is closed, and the surface of the table appears dry and flat. The liquid in the bottle is highly viscous, similar to thick syrup, making it pour very slowly.
Action: The robot grips the medicine bottle, unscrews the cap, and tips the bottle over the box.","The medicine pours slowly and thickly, with only a small amount reaching the box despite the bottle being tipped.",The medicine flows into the box as freely as a thin liquid despite stated high viscosity.,"A rectangular table with a smooth, light-colored surface has a medicine bottle and a translucent plastic box on it. The medicine bottle is cylindrical with a silver hue and stands upright near the center of the table. The plastic box is open and placed a short distance from the bottle. Two robotic arms with metallic and white components are positioned on either side of the bottle. The bottle cap is closed, and the surface of the table appears dry and flat.","colored, light, silver, translucent",0.855,
63,063_unobs,063_humanoid_everyday_pour_out_some_sunflower_seeds_ep3292.mp4,Basic/pour_out_some_sunflower_seeds,pouring,063_humanoid_everyday_pour_out_some_sunflower_seeds_ep3292_frame0_720p.jpg,unobservable,viscosity,"extremely high viscosity, syrup-like consistency","A round, beige paper plate sits on a smooth, white table. To the right of the plate, there is a partially opened plastic bag with some text visible on the packaging. The bag contains a highly viscous syrup instead of sunflower seeds. The robot has two arms positioned below the table, each with a metallic and black appearance, poised to engage with the items on the table. The table surface is dry and smooth, suitable for placing food items.",The robot lifts the bag of sunflower seeds and tips it over the plate.,"Scene: A round, beige paper plate sits on a smooth, white table. To the right of the plate, there is a partially opened plastic bag with some text visible on the packaging. The bag contains a highly viscous syrup instead of sunflower seeds. The robot has two arms positioned below the table, each with a metallic and black appearance, poised to engage with the items on the table. The table surface is dry and smooth, suitable for placing food items.
Action: The robot lifts the bag of sunflower seeds and tips it over the plate.","The syrup pours very slowly, forming a thick glob on the plate and spreading minimally.","The syrup pours as freely as a liquid like water, spreading quickly across the plate.","A round, beige paper plate sits on a smooth, white table. To the right of the plate, there is a partially opened plastic bag containing sunflower seeds, with the colors red, blue, and some text visible on the packaging. The robot has two arms positioned below the table, each with a metallic and black appearance, poised to engage with the items on the table. The table surface is dry and smooth, suitable for placing food items.","blue, red",0.86,
66,066_unobs,066_ai2_alphabot_2_pour_mung_beans_ep0.mp4,Pick up the cup and pour the mung beans from the cup into the bowl.,pouring,066_ai2_alphabot_2_pour_mung_beans_ep0_frame0_720p.jpg,unobservable,viscosity,"high viscosity, thick mud-like consistency","A ceramic bowl approximately 8 inches in diameter is positioned on a flat, black surface. A plastic cup, around 4 inches tall, sits a few inches to the right of the bowl. The left robotic arm is slightly above and to the left of the bowl, while the right arm is near the cup, poised to interact with it. The surface is dry. The contents of the cup are highly viscous, similar in consistency to thick mud.","The robot grasps the cup, lifts it, and tilts it over the bowl.","Scene: A ceramic bowl approximately 8 inches in diameter is positioned on a flat, black surface. A plastic cup, around 4 inches tall, sits a few inches to the right of the bowl. The left robotic arm is slightly above and to the left of the bowl, while the right arm is near the cup, poised to interact with it. The surface is dry. The contents of the cup are highly viscous, similar in consistency to thick mud.
Action: The robot grasps the cup, lifts it, and tilts it over the bowl.",The contents of the cup slowly slide out in clumps and do not fully empty into the bowl.,Contents pour into the bowl smoothly and quickly as if they were simple loose grains.,"A pink ceramic bowl approximately 8 inches in diameter is positioned on a flat, black surface. A purple plastic cup, around 4 inches tall, sits a few inches to the right of the bowl. The left robotic arm is slightly above and to the left of the bowl, while the right arm is near the cup, poised to interact with it. The surface is dry, and the cup appears roughly half-full of small objects, possibly mung beans.","full, pink, purple",0.865,
68,068_unobs,068_dlr_sara_pour_into_mug_ep0.mp4,Pour into the mug (two ping-pong balls stand in for liquid),pouring,068_dlr_sara_pour_into_mug_ep0_frame0_720p.jpg,unobservable,viscosity,"extremely high viscosity, similar to thick syrup","A robot arm with a blue and gray color scheme is positioned over a wooden table. On the table, there is a white mug roughly the size of a standard coffee cup. The mug is sitting upright in front of the robot arm. The robot is holding a small cup-like container in its gripper. The contents inside the container are extremely viscous, similar to a thick syrup.",The robot tilts the container to pour its contents into the mug.,"Scene: A robot arm with a blue and gray color scheme is positioned over a wooden table. On the table, there is a white mug roughly the size of a standard coffee cup. The mug is sitting upright in front of the robot arm. The robot is holding a small cup-like container in its gripper. The contents inside the container are extremely viscous, similar to a thick syrup.
Action: The robot tilts the container to pour its contents into the mug.","The contents flow very slowly into the mug, forming a thick strand and taking several moments to fully empty.",Contents pour into the mug as freely and quickly as water despite stated high viscosity.,"A robot arm with a blue and gray color scheme is positioned over a wooden table. On the table, there is a white mug roughly the size of a standard coffee cup. The mug is sitting upright in front of the robot arm. The robot is holding a small brown cup-like container in its gripper. The table is smooth and dry with several metal tracks embedded in it.","brown, dry, metal, smooth",0.819,
