id,video_file,task,frame,scene,action,prompt,action_review,note
39,039_unitree_g1dex1_zip_up_ep0.mp4,Zip up,039_unitree_g1dex1_zip_up_ep0_frame0_720p.jpg,"A rectangular table is set up with several objects. On the left side, a tan boot, a red apple, and a yellow banana are placed on the surface. In the middle of the table, a transparent bag with a greenish tint, approximately the size of a small shoebox, lays flat. To the right, there is a set of stacked plates held in a wooden rack. Two robotic arms with black grippers are positioned near the table, aligning with the bag. The material of the bag appears smooth and dry.",The robot grips the zipper tab of the bag and slides it across the bag's edge.,"Scene: A rectangular table is set up with several objects. On the left side, a tan boot, a red apple, and a yellow banana are placed on the surface. In the middle of the table, a transparent bag with a greenish tint, approximately the size of a small shoebox, lays flat. To the right, there is a set of stacked plates held in a wooden rack. Two robotic arms with black grippers are positioned near the table, aligning with the bag. The material of the bag appears smooth and dry.
Action: The robot grips the zipper tab of the bag and slides it across the bag's edge.",,
41,041_unitree_g1dex3_block_stacking_ep0.mp4,Stack the three cubic blocks on the black tape.,041_unitree_g1dex3_block_stacking_ep0_frame0_720p.jpg,"A white table holds three cubic blocks. The blocks are colored green, yellow, and red, and are made of plastic, each approximately the size of a fist. The green block is on the left, the yellow block is in front of it, and the red block is on the right. There is a strip of black tape on the table surface between the yellow and red blocks. A pair of robotic arms with black grippers are positioned to either side of the blocks. The surface of the table is smooth and dry.","The robot lifts the yellow block, places it on the black tape, then lifts the green block and places it on top of the yellow block, and finally places the red block on top of the stack.","Scene: A white table holds three cubic blocks. The blocks are colored green, yellow, and red, and are made of plastic, each approximately the size of a fist. The green block is on the left, the yellow block is in front of it, and the red block is on the right. There is a strip of black tape on the table surface between the yellow and red blocks. A pair of robotic arms with black grippers are positioned to either side of the blocks. The surface of the table is smooth and dry.
Action: The robot lifts the yellow block, places it on the black tape, then lifts the green block and places it on top of the yellow block, and finally places the red block on top of the stack.",,
42,042_unitree_g1dex3_block_stacking_ep150.mp4,Stack the three cubic blocks on the black tape.,042_unitree_g1dex3_block_stacking_ep150_frame0_720p.jpg,"A white tabletop displays three cubic blocks: one red, one yellow, and one green. Each block is approximately similar in size, made of a solid material. The red block is to the left, the green block is to the right, and the yellow block is further back towards the center. A strip of black tape is placed in the center of the table. Two robotic arms are positioned above the table, with one on each side of the tape. The table's surface is smooth and dry.","The robot lifts the red block, moves it above the black tape, and places it down.","Scene: A white tabletop displays three cubic blocks: one red, one yellow, and one green. Each block is approximately similar in size, made of a solid material. The red block is to the left, the green block is to the right, and the yellow block is further back towards the center. A strip of black tape is placed in the center of the table. Two robotic arms are positioned above the table, with one on each side of the tape. The table's surface is smooth and dry.
Action: The robot lifts the red block, moves it above the black tape, and places it down.",,
43,043_unitree_g1dex3_block_stacking_ep300.mp4,Stack the three cubic blocks on the black tape.,043_unitree_g1dex3_block_stacking_ep300_frame0_720p.jpg,"A white table surface has three cubic blocks scattered on it. There is a green block on the left side, a yellow block in front of the green one, and a red block to the right. Each block is approximately the same size and made of a solid, likely plastic material. A strip of black tape is positioned on the table. Two robotic arms, one on either side, are poised near the blocks. The table surface is smooth and dry.",The robot picks up each block and stacks them on the black tape.,"Scene: A white table surface has three cubic blocks scattered on it. There is a green block on the left side, a yellow block in front of the green one, and a red block to the right. Each block is approximately the same size and made of a solid, likely plastic material. A strip of black tape is positioned on the table. Two robotic arms, one on either side, are poised near the blocks. The table surface is smooth and dry.
Action: The robot picks up each block and stacks them on the black tape.",,
44,044_unitree_g1dex1_stack_block_ep0.mp4,"Stack the red, green, and yellow blocks.",044_unitree_g1dex1_stack_block_ep0_frame0_720p.jpg,"The scene features three colored blocks: a red block, a green block, and a yellow block. The blocks are made of plastic and are roughly cube-shaped, each about the size of a child's building block. They are arranged on a wooden table in a line, with a small black square object also present. Two robotic arms are positioned in front of the blocks; one arm is on the left side of the yellow block, and the other is on the right side of the red block. The table surface is smooth and dry, providing a stable platform for manipulation.",The robot picks up the blocks one by one and places them carefully on top of one another.,"Scene: The scene features three colored blocks: a red block, a green block, and a yellow block. The blocks are made of plastic and are roughly cube-shaped, each about the size of a child's building block. They are arranged on a wooden table in a line, with a small black square object also present. Two robotic arms are positioned in front of the blocks; one arm is on the left side of the yellow block, and the other is on the right side of the red block. The table surface is smooth and dry, providing a stable platform for manipulation.
Action: The robot picks up the blocks one by one and places them carefully on top of one another.",,
45,045_unitree_g1dex1_stack_block_ep199.mp4,"Stack the red, green, and yellow blocks.",045_unitree_g1dex1_stack_block_ep199_frame0_720p.jpg,"A wooden table holds three small, colorful blocks and one black square object. The red block is positioned to the right, the green block in the middle, and the yellow block to the left. Two robotic arms are positioned at the table's edge, one on the left and the other on the right, both directed toward the blocks. The table surface is smooth and dry, suitable for manipulation tasks.",The robot picks up the blocks and arranges them vertically.,"Scene: A wooden table holds three small, colorful blocks and one black square object. The red block is positioned to the right, the green block in the middle, and the yellow block to the left. Two robotic arms are positioned at the table's edge, one on the left and the other on the right, both directed toward the blocks. The table surface is smooth and dry, suitable for manipulation tasks.
Action: The robot picks up the blocks and arranges them vertically.",,
46,046_humanoid_everyday_stack_two_cubes_g1_ep4358.mp4,Basic/stack_two_cubes_g1,046_humanoid_everyday_stack_two_cubes_g1_ep4358_frame274_720p.jpg,"A tabletop is visible with two cubes present. One cube, blue and translucent, is already on the table and measures roughly 10 cm across each side. The second cube, similar in size, material, and color, is held by a robotic gripper. The robot arm is positioned above the tabletop with the gripper directly above the first cube. The surface of the table is smooth and flat.",The robot places the cube from its gripper on top of the one already on the table.,"Scene: A tabletop is visible with two cubes present. One cube, blue and translucent, is already on the table and measures roughly 10 cm across each side. The second cube, similar in size, material, and color, is held by a robotic gripper. The robot arm is positioned above the tabletop with the gripper directly above the first cube. The surface of the table is smooth and flat.
Action: The robot places the cube from its gripper on top of the one already on the table.",,
47,047_humanoid_everyday_unstack_two_cubes_g1_ep4518.mp4,Basic/unstack_two_cubes_g1,047_humanoid_everyday_unstack_two_cubes_g1_ep4518_frame68_720p.jpg,"A robot arm with a metallic finish is positioned on the left side of the scene, reaching towards two stacked cubes. The top cube is small, light blue, and appears to be made of a textured material covered in shiny wrapping. The bottom cube is larger, also light blue, wrapped similarly, and sits firmly on a flat white surface. Both cubes have smooth but slightly reflective surfaces. The surface beneath the cubes is dry and smooth, allowing for ease of manipulation.",The robot lifts the top cube from the stack.,"Scene: A robot arm with a metallic finish is positioned on the left side of the scene, reaching towards two stacked cubes. The top cube is small, light blue, and appears to be made of a textured material covered in shiny wrapping. The bottom cube is larger, also light blue, wrapped similarly, and sits firmly on a flat white surface. Both cubes have smooth but slightly reflective surfaces. The surface beneath the cubes is dry and smooth, allowing for ease of manipulation.
Action: The robot lifts the top cube from the stack.",,
48,048_humanoid_everyday_pick_the_hammer_and_hit_desk_ep8398.mp4,Tool_use/pick_the_hammer_and_hit_desk,048_humanoid_everyday_pick_the_hammer_and_hit_desk_ep8398_frame0_720p.jpg,"A white table surface is in view, with a strip of grey duct tape adhered flatly to its surface. To the right of the tape is a small grey basket containing a hammer with a blue handle wrapped in a yellow cloth. The basket is made of plastic with a mesh-like texture. Two black and white robotic arms are positioned in front, one on either side, poised to interact with the objects. The table surface is smooth and dry.","The robot grips the hammer by its handle, lifts it, and brings it down onto the table.","Scene: A white table surface is in view, with a strip of grey duct tape adhered flatly to its surface. To the right of the tape is a small grey basket containing a hammer with a blue handle wrapped in a yellow cloth. The basket is made of plastic with a mesh-like texture. Two black and white robotic arms are positioned in front, one on either side, poised to interact with the objects. The table surface is smooth and dry.
Action: The robot grips the hammer by its handle, lifts it, and brings it down onto the table.",,
49,049_humanoid_everyday_pick_the_hammer_and_hit_desk_ep8399.mp4,Tool_use/pick_the_hammer_and_hit_desk,049_humanoid_everyday_pick_the_hammer_and_hit_desk_ep8399_frame0_720p.jpg,"A white table surface extends across the scene with two robotic arms positioned at the bottom. A metallic hammer with a blue handle is resting on a grey basket near the right side of the table. The hammer's head is partially wrapped in a yellow cloth secured with rubber bands. To the left, strips of silver duct tape are neatly applied, creating a smooth and shiny texture. The table is dry and textured, suggesting resistance to the anticipated impact.","The robot grasps the hammer, lifts it, and swings it down toward the surface.","Scene: A white table surface extends across the scene with two robotic arms positioned at the bottom. A metallic hammer with a blue handle is resting on a grey basket near the right side of the table. The hammer's head is partially wrapped in a yellow cloth secured with rubber bands. To the left, strips of silver duct tape are neatly applied, creating a smooth and shiny texture. The table is dry and textured, suggesting resistance to the anticipated impact.
Action: The robot grasps the hammer, lifts it, and swings it down toward the surface.",,
50,050_humanoid_everyday_push_duck_g1_ep3612.mp4,Basic/push_duck_g1,050_humanoid_everyday_push_duck_g1_ep3612_frame152_720p.jpg,"A white tabletop is visible with a beige tape cross in the center. On the right side of the table, there is a yellow rubber duck, approximately the size of a small fist. Next to the duck is a robot arm with a claw-like gripper positioned close to the duck's left side. The table is smooth and dry, suitable for sliding objects across its surface.",The robot moves its arm to push the duck across the tabletop.,"Scene: A white tabletop is visible with a beige tape cross in the center. On the right side of the table, there is a yellow rubber duck, approximately the size of a small fist. Next to the duck is a robot arm with a claw-like gripper positioned close to the duck's left side. The table is smooth and dry, suitable for sliding objects across its surface.
Action: The robot moves its arm to push the duck across the tabletop.",,
51,051_ai2_alphabot_2_clink_glasses_ep0.mp4,Pick up one cup with a gripper and tap it against the other cup.,051_ai2_alphabot_2_clink_glasses_ep0_frame0_720p.jpg,"A blue plastic cup sits on top of a black cylindrical platform to the upper left of the scene. A purple plastic cup is positioned towards the center of the black table surface. The robot's left arm is near the blue cup, while the right arm is closer to the purple cup. Both robot arms have grippers poised for action. The cups appear smooth and dry, suitable for being handled by the robot's grippers.",The robot uses its gripper to pick up the purple cup and lightly tap it against the blue cup.,"Scene: A blue plastic cup sits on top of a black cylindrical platform to the upper left of the scene. A purple plastic cup is positioned towards the center of the black table surface. The robot's left arm is near the blue cup, while the right arm is closer to the purple cup. Both robot arms have grippers poised for action. The cups appear smooth and dry, suitable for being handled by the robot's grippers.
Action: The robot uses its gripper to pick up the purple cup and lightly tap it against the blue cup.",,
52,052_ai2_alphabot_2_clink_glasses_ep392.mp4,Pick up one cup with a gripper and tap it against the other cup.,052_ai2_alphabot_2_clink_glasses_ep392_frame0_720p.jpg,"A blue cup is positioned on a black cylindrical stand, with a purple cup placed directly in front of it on a black tablecloth. Two robotic arms with grippers are present, one on each side of the table. The left arm is close to the purple cup, and the right arm is near the blue cup. The cups are empty, and the table surface appears smooth and flat.",The robot uses its left gripper to grasp the purple cup and taps it against the blue cup.,"Scene: A blue cup is positioned on a black cylindrical stand, with a purple cup placed directly in front of it on a black tablecloth. Two robotic arms with grippers are present, one on each side of the table. The left arm is close to the purple cup, and the right arm is near the blue cup. The cups are empty, and the table surface appears smooth and flat.
Action: The robot uses its left gripper to grasp the purple cup and taps it against the blue cup.",,
53,053_ai2_alphabot_2_stack_cups_ep0.mp4,Stack the three plastic cups sequentially using one hand.,053_ai2_alphabot_2_stack_cups_ep0_frame0_720p.jpg,"Three plastic cups are on a black table. The cups are yellow, blue, and purple in color, and they are arranged linearly from left to right. Each cup is approximately medium-sized. Two robot arms are positioned on the left and right sides of the table, with one ready to engage with the cups. The surface of the table is smooth and dry.",The robot uses one arm to pick up each cup and place them one inside the other in sequence.,"Scene: Three plastic cups are on a black table. The cups are yellow, blue, and purple in color, and they are arranged linearly from left to right. Each cup is approximately medium-sized. Two robot arms are positioned on the left and right sides of the table, with one ready to engage with the cups. The surface of the table is smooth and dry.
Action: The robot uses one arm to pick up each cup and place them one inside the other in sequence.",,
54,054_ai2_alphabot_2_stack_blocks_ep0.mp4,Pick the topmost block from the stack and place it on the table.,054_ai2_alphabot_2_stack_blocks_ep0_frame0_720p.jpg,"A purple block and a green block, both rectangular and each approximately 5 inches tall, are lying separately on a smooth, black, dry table surface. The purple block is closer to the left robot arm, while the green block is nearer to the right robot arm. The left robot arm is positioned near the purple block, and the right robot arm is near the green block. The table is stable and provides a non-porous surface for manipulation.",The robot grips the purple block with its left arm and moves it to the table surface.,"Scene: A purple block and a green block, both rectangular and each approximately 5 inches tall, are lying separately on a smooth, black, dry table surface. The purple block is closer to the left robot arm, while the green block is nearer to the right robot arm. The left robot arm is positioned near the purple block, and the right robot arm is near the green block. The table is stable and provides a non-porous surface for manipulation.
Action: The robot grips the purple block with its left arm and moves it to the table surface.",,
55,055_unitree_g1dex1_paper_cup_stacking_ep0.mp4,Paper cup stacking,055_unitree_g1dex1_paper_cup_stacking_ep0_frame0_720p.jpg,"A table with a smooth, dry surface is holding three paper cups. The cups are beige and appear lightweight. They are placed upright and are roughly the same size, lined up in a triangular arrangement. The robot's arms are positioned near the cups, one on the left and the other on the right, equipped with gripping tools that are ready to engage.",The robot uses its arms to grasp a paper cup and place it on top of another cup.,"Scene: A table with a smooth, dry surface is holding three paper cups. The cups are beige and appear lightweight. They are placed upright and are roughly the same size, lined up in a triangular arrangement. The robot's arms are positioned near the cups, one on the left and the other on the right, equipped with gripping tools that are ready to engage.
Action: The robot uses its arms to grasp a paper cup and place it on top of another cup.",,
56,056_unitree_g1dex1_stack_bowls_ep0.mp4,Stack bowls,056_unitree_g1dex1_stack_bowls_ep0_frame0_720p.jpg,"On a flat, light-colored table, there are three bowls. A blue bowl is on the left, a green bowl is in the center, and a pink bowl is on the right. Each bowl is made of smooth plastic and is roughly the same size. Two robotic arms with black grippers are positioned at the edges of the table, slightly above the surface. The table surface is dry and smooth, which will aid in the upcoming task.",The robot picks up the green bowl and places it on top of the blue bowl.,"Scene: On a flat, light-colored table, there are three bowls. A blue bowl is on the left, a green bowl is in the center, and a pink bowl is on the right. Each bowl is made of smooth plastic and is roughly the same size. Two robotic arms with black grippers are positioned at the edges of the table, slightly above the surface. The table surface is dry and smooth, which will aid in the upcoming task.
Action: The robot picks up the green bowl and places it on top of the blue bowl.",,
57,057_gr00t_gr1_pour_items_into_basket_ep0.mp4,gr1_unified.pour_items_into_basket_robot,057_gr00t_gr1_pour_items_into_basket_ep0_frame0_720p.jpg,"A light wooden table occupies the center of the space. On the table, there is a brown glass cup containing a few small orange items. To the right of the cup, a rectangular woven basket sits, appearing empty. Two robotic arms with black and metallic features are positioned in front of the table, one on each side of the cup. The table surface is smooth and dry, and the basket is made of a firm woven material.",The robot lifts the cup and tilts it over the basket.,"Scene: A light wooden table occupies the center of the space. On the table, there is a brown glass cup containing a few small orange items. To the right of the cup, a rectangular woven basket sits, appearing empty. Two robotic arms with black and metallic features are positioned in front of the table, one on each side of the cup. The table surface is smooth and dry, and the basket is made of a firm woven material.
Action: The robot lifts the cup and tilts it over the basket.",,
58,058_gr00t_gr1_pour_items_into_basket_ep50.mp4,gr1_unified.pour_items_into_basket_robot,058_gr00t_gr1_pour_items_into_basket_ep50_frame0_720p.jpg,"A beige wooden table is situated in the center with a wicker basket on the right edge. In the middle of the table, there is a transparent glass with a decorative print containing some items. The robot has two black and metallic arms positioned slightly apart, with the right arm closer to the basket and the left arm nearer to the glass. The glass is upright and made of smooth, transparent material.",The robot tilts the glass over the basket.,"Scene: A beige wooden table is situated in the center with a wicker basket on the right edge. In the middle of the table, there is a transparent glass with a decorative print containing some items. The robot has two black and metallic arms positioned slightly apart, with the right arm closer to the basket and the left arm nearer to the glass. The glass is upright and made of smooth, transparent material.
Action: The robot tilts the glass over the basket.",,
59,059_gr00t_gr1_pour_items_into_basket_ep99.mp4,gr1_unified.pour_items_into_basket_robot,059_gr00t_gr1_pour_items_into_basket_ep99_frame0_720p.jpg,"A wooden table is centered in the space, with a light brown, woven basket on its right side. The basket appears empty and is rectangular in shape. A cylindrical, transparent glass with a yellow tint stands upright near the basket. The robot has two arms, both made of sleek black and metallic materials, positioned above the table. One arm is closer to the basket, while the other is nearer to the glass. The surface of the table is smooth and dry.",The robot moves its arm toward the basket to begin the pouring motion.,"Scene: A wooden table is centered in the space, with a light brown, woven basket on its right side. The basket appears empty and is rectangular in shape. A cylindrical, transparent glass with a yellow tint stands upright near the basket. The robot has two arms, both made of sleek black and metallic materials, positioned above the table. One arm is closer to the basket, while the other is nearer to the glass. The surface of the table is smooth and dry.
Action: The robot moves its arm toward the basket to begin the pouring motion.",,
60,060_unitree_g1dex1_pour_medicine_ep0.mp4,Pour the medicine from the bottle into the box.,060_unitree_g1dex1_pour_medicine_ep0_frame0_720p.jpg,"A light beige table holds a metallic bottle, silver in color, standing upright near its center. To the right of the bottle is a transparent plastic box with an open top. The box is rectangular and approximately half the height of the bottle. Two robotic arms are positioned near the table, each extending from either side, with grippers facing toward the objects. The bottle appears smooth, and the box is dry and empty.","The robot grips the bottle, lifts it, and tips it over the box.","Scene: A light beige table holds a metallic bottle, silver in color, standing upright near its center. To the right of the bottle is a transparent plastic box with an open top. The box is rectangular and approximately half the height of the bottle. Two robotic arms are positioned near the table, each extending from either side, with grippers facing toward the objects. The bottle appears smooth, and the box is dry and empty.
Action: The robot grips the bottle, lifts it, and tips it over the box.",,
61,061_unitree_g1dex1_pour_medicine_ep100.mp4,Pour the medicine from the bottle into the box.,061_unitree_g1dex1_pour_medicine_ep100_frame0_720p.jpg,"A beige table surface holds a small, transparent rectangular plastic box on the right and a gray bottle with a red label in the center. The box is open and appears empty. Two robotic arms are positioned at the front of the table, with the left arm near the bottle and the right arm closer to the box. The surface is smooth and dry, crucial for accurate positioning.","The robot grasps the bottle with its left arm, lifts it, and tips it over the open box.","Scene: A beige table surface holds a small, transparent rectangular plastic box on the right and a gray bottle with a red label in the center. The box is open and appears empty. Two robotic arms are positioned at the front of the table, with the left arm near the bottle and the right arm closer to the box. The surface is smooth and dry, crucial for accurate positioning.
Action: The robot grasps the bottle with its left arm, lifts it, and tips it over the open box.",,
62,062_unitree_g1dex1_pour_medicine_ep199.mp4,Pour the medicine from the bottle into the box.,062_unitree_g1dex1_pour_medicine_ep199_frame0_720p.jpg,"A rectangular table with a smooth, light-colored surface has a medicine bottle and a translucent plastic box on it. The medicine bottle is cylindrical with a silver hue and stands upright near the center of the table. The plastic box is open and placed a short distance from the bottle. Two robotic arms with metallic and white components are positioned on either side of the bottle. The bottle cap is closed, and the surface of the table appears dry and flat.","The robot grips the medicine bottle, unscrews the cap, and tips the bottle over the box.","Scene: A rectangular table with a smooth, light-colored surface has a medicine bottle and a translucent plastic box on it. The medicine bottle is cylindrical with a silver hue and stands upright near the center of the table. The plastic box is open and placed a short distance from the bottle. Two robotic arms with metallic and white components are positioned on either side of the bottle. The bottle cap is closed, and the surface of the table appears dry and flat.
Action: The robot grips the medicine bottle, unscrews the cap, and tips the bottle over the box.",,
63,063_humanoid_everyday_pour_out_some_sunflower_seeds_ep3292.mp4,Basic/pour_out_some_sunflower_seeds,063_humanoid_everyday_pour_out_some_sunflower_seeds_ep3292_frame0_720p.jpg,"A round, beige paper plate sits on a smooth, white table. To the right of the plate, there is a partially opened plastic bag containing sunflower seeds, with the colors red, blue, and some text visible on the packaging. The robot has two arms positioned below the table, each with a metallic and black appearance, poised to engage with the items on the table. The table surface is dry and smooth, suitable for placing food items.",The robot lifts the bag of sunflower seeds and tips it over the plate.,"Scene: A round, beige paper plate sits on a smooth, white table. To the right of the plate, there is a partially opened plastic bag containing sunflower seeds, with the colors red, blue, and some text visible on the packaging. The robot has two arms positioned below the table, each with a metallic and black appearance, poised to engage with the items on the table. The table surface is dry and smooth, suitable for placing food items.
Action: The robot lifts the bag of sunflower seeds and tips it over the plate.",,
64,064_humanoid_everyday_pour_out_some_sunflower_seeds_ep3293.mp4,Basic/pour_out_some_sunflower_seeds,064_humanoid_everyday_pour_out_some_sunflower_seeds_ep3293_frame0_720p.jpg,"The setup involves a white table on which a beige paper plate is positioned centrally. To the right of the plate, there is a blue plastic bag containing sunflower seeds, partially crumpled and standing upright. Two robotic arms are positioned below the table edge, one slightly to the left and the other to the right, both angled towards the objects. The surface of the table is smooth and dry, and the bag with seeds appears moderately filled.","The robot grasps the seed bag, lifts it over the plate, and tips it to pour seeds onto the plate.","Scene: The setup involves a white table on which a beige paper plate is positioned centrally. To the right of the plate, there is a blue plastic bag containing sunflower seeds, partially crumpled and standing upright. Two robotic arms are positioned below the table edge, one slightly to the left and the other to the right, both angled towards the objects. The surface of the table is smooth and dry, and the bag with seeds appears moderately filled.
Action: The robot grasps the seed bag, lifts it over the plate, and tips it to pour seeds onto the plate.",,
66,066_ai2_alphabot_2_pour_mung_beans_ep0.mp4,Pick up the cup and pour the mung beans from the cup into the bowl.,066_ai2_alphabot_2_pour_mung_beans_ep0_frame0_720p.jpg,"A pink ceramic bowl approximately 8 inches in diameter is positioned on a flat, black surface. A purple plastic cup, around 4 inches tall, sits a few inches to the right of the bowl. The left robotic arm is slightly above and to the left of the bowl, while the right arm is near the cup, poised to interact with it. The surface is dry, and the cup appears roughly half-full of small objects, possibly mung beans.","The robot grasps the cup, lifts it, and tilts it over the bowl.","Scene: A pink ceramic bowl approximately 8 inches in diameter is positioned on a flat, black surface. A purple plastic cup, around 4 inches tall, sits a few inches to the right of the bowl. The left robotic arm is slightly above and to the left of the bowl, while the right arm is near the cup, poised to interact with it. The surface is dry, and the cup appears roughly half-full of small objects, possibly mung beans.
Action: The robot grasps the cup, lifts it, and tilts it over the bowl.",,
67,067_ai2_alphabot_2_pour_mung_beans_ep212.mp4,Pick up the cup and pour the mung beans from the cup into the bowl.,067_ai2_alphabot_2_pour_mung_beans_ep212_frame0_720p.jpg,"A purple plastic cup filled with mung beans is positioned on a black table to the right. A white bowl, larger than the cup, is placed to the left of the cup. Two robotic arms flank the setup, one on each side, with the right arm closer to the cup. The surface of the table is dry and smooth, while the cup is nearly full of beans.",The robot picks up the cup with its arm and tips it over the bowl.,"Scene: A purple plastic cup filled with mung beans is positioned on a black table to the right. A white bowl, larger than the cup, is placed to the left of the cup. Two robotic arms flank the setup, one on each side, with the right arm closer to the cup. The surface of the table is dry and smooth, while the cup is nearly full of beans.
Action: The robot picks up the cup with its arm and tips it over the bowl.",,
68,068_dlr_sara_pour_into_mug_ep0.mp4,Pour into the mug (two ping-pong balls stand in for liquid),068_dlr_sara_pour_into_mug_ep0_frame0_720p.jpg,"A robot arm with a blue and gray color scheme is positioned over a wooden table. On the table, there is a white mug roughly the size of a standard coffee cup. The mug is sitting upright in front of the robot arm. The robot is holding a small brown cup-like container in its gripper. The table is smooth and dry with several metal tracks embedded in it.",The robot tilts the container to pour its contents into the mug.,"Scene: A robot arm with a blue and gray color scheme is positioned over a wooden table. On the table, there is a white mug roughly the size of a standard coffee cup. The mug is sitting upright in front of the robot arm. The robot is holding a small brown cup-like container in its gripper. The table is smooth and dry with several metal tracks embedded in it.
Action: The robot tilts the container to pour its contents into the mug.",,
70,070_humanoid_everyday_push_the_tape_towards_the_notebook_ep3720.mp4,Basic/push_the_tape_towards_the_notebook,070_humanoid_everyday_push_the_tape_towards_the_notebook_ep3720_frame0_720p.jpg,"A white table surface holds two objects. To the left, there is a closed notebook with a black and blue cover, approximately A5 in size. To the right, a red tape dispenser is placed on top of a small black square mat. The robot's arms are positioned below the table surface, with the left arm slightly closer to the notebook and the right arm aligned with the tape dispenser. The table surface is smooth and dry, offering little friction.",The robot pushes the tape dispenser toward the notebook.,"Scene: A white table surface holds two objects. To the left, there is a closed notebook with a black and blue cover, approximately A5 in size. To the right, a red tape dispenser is placed on top of a small black square mat. The robot's arms are positioned below the table surface, with the left arm slightly closer to the notebook and the right arm aligned with the tape dispenser. The table surface is smooth and dry, offering little friction.
Action: The robot pushes the tape dispenser toward the notebook.",,
71,071_humanoid_everyday_push_box_screws_left_desk_right_ep3572.mp4,Basic/push_a_box_of_screws_from_the_left_side_of_the_desk_to_the_right_next_to_the_tape,071_humanoid_everyday_push_box_screws_left_desk_right_ep3572_frame0_720p.jpg,"A white desk supports two main objects. On the left side, there is a red tape dispenser holding blue tape, approximately medium-sized and made of plastic. On the right side, a small transparent container with a label on top sits on a black rectangular pad. The robot has two arms positioned in front of the desk, both oriented toward the objects. The desk surface is dry and smooth.",The robot pushes the transparent box from the left to the right side of the desk next to the tape dispenser.,"Scene: A white desk supports two main objects. On the left side, there is a red tape dispenser holding blue tape, approximately medium-sized and made of plastic. On the right side, a small transparent container with a label on top sits on a black rectangular pad. The robot has two arms positioned in front of the desk, both oriented toward the objects. The desk surface is dry and smooth.
Action: The robot pushes the transparent box from the left to the right side of the desk next to the tape dispenser.",,
72,072_humanoid_everyday_push_pencil_case_container_ep3680.mp4,Basic/push_the_pencil_case_next_to_the_container,072_humanoid_everyday_push_pencil_case_container_ep3680_frame0_720p.jpg,"A grey rectangular pencil case is positioned on the right side of a white tabletop. A grey, mesh-like container with an open top is situated on the left side of the table. Both objects are medium-sized and are placed with some distance between them. A robot with two visible arms is positioned in front of the table, with its hands poised near the pencil case. The surface of the table is smooth and dry, providing an even area for manipulation.",The robot pushes the pencil case towards the mesh container.,"Scene: A grey rectangular pencil case is positioned on the right side of a white tabletop. A grey, mesh-like container with an open top is situated on the left side of the table. Both objects are medium-sized and are placed with some distance between them. A robot with two visible arms is positioned in front of the table, with its hands poised near the pencil case. The surface of the table is smooth and dry, providing an even area for manipulation.
Action: The robot pushes the pencil case towards the mesh container.",,
73,073_rh20t_cfg1_hit_pool_ball_scene0001_ep2194.mp4,Hit a pool ball with a cue,073_rh20t_cfg1_hit_pool_ball_scene0001_ep2194_frame0_720p.jpg,"A small green pool table is situated on a glossy, dark marbled surface. The table, approximately 30 cm long, has holes at each corner. On the table are three pool balls: a red ball near a corner pocket, and blue and black balls near the center. A wooden cue stick lies diagonally across the table. One robotic arm is positioned close to the pool cue, appearing to be metallic and equipped with a gripper. The surface is smooth and dry, facilitating easy movement of the pool balls.",The robot grips the cue stick and swings it toward the red pool ball.,"Scene: A small green pool table is situated on a glossy, dark marbled surface. The table, approximately 30 cm long, has holes at each corner. On the table are three pool balls: a red ball near a corner pocket, and blue and black balls near the center. A wooden cue stick lies diagonally across the table. One robotic arm is positioned close to the pool cue, appearing to be metallic and equipped with a gripper. The surface is smooth and dry, facilitating easy movement of the pool balls.
Action: The robot grips the cue stick and swings it toward the red pool ball.",,
74,074_rh20t_cfg1_hit_pool_ball_scene0002_ep2464.mp4,Hit a pool ball with a cue,074_rh20t_cfg1_hit_pool_ball_scene0002_ep2464_frame0_720p.jpg,"A small green pool table sits on a metallic surface. It contains two pool balls, one striped in blue and one in white. A wooden pool cue is lying nearby, parallel to the edge of the table. A robotic arm is positioned near the cue, with its gripper hovering just above it. The metallic surface is smooth and dry.","The robot grips the pool cue, lifts it, and swings it toward a pool ball on the table.","Scene: A small green pool table sits on a metallic surface. It contains two pool balls, one striped in blue and one in white. A wooden pool cue is lying nearby, parallel to the edge of the table. A robotic arm is positioned near the cue, with its gripper hovering just above it. The metallic surface is smooth and dry.
Action: The robot grips the pool cue, lifts it, and swings it toward a pool ball on the table.",,
75,075_unitree_g1dex1_conveyor_sorting_ep0.mp4,Conveyor sorting,075_unitree_g1dex1_conveyor_sorting_ep0_frame162_720p.jpg,"The setup includes a grey conveyor belt connected to a table on the left side. A wire shelf holds various items like colorful snack bags and plastic bottles. The snack bags are red, green, and pink, and each bottle has a blue or yellow cap, containing orange, green, and black liquids. Two robotic arms are positioned on either side of the conveyor belt. The items are dry, and the packaging is smooth. The bottles are fitted with closed caps.",The robot arm on the left side picks up a snack bag from the shelf and places it onto the conveyor belt.,"Scene: The setup includes a grey conveyor belt connected to a table on the left side. A wire shelf holds various items like colorful snack bags and plastic bottles. The snack bags are red, green, and pink, and each bottle has a blue or yellow cap, containing orange, green, and black liquids. Two robotic arms are positioned on either side of the conveyor belt. The items are dry, and the packaging is smooth. The bottles are fitted with closed caps.
Action: The robot arm on the left side picks up a snack bag from the shelf and places it onto the conveyor belt.",,
